Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,Phone_Use,Caffeine,Exercise,Stress,GPA,Sleep_Index
10/24/2024 19:30:35,Graduate student,Female,5,4,5,3,5,3,5,4,4,5,4,2,2,4.25
10/24/2024 19:30:52,Third year,Male,4,4,5,3,3,3,4,4,4,4,5,5,1,3.75
10/24/2024 19:31:12,Graduate student,Female,5,5,4,5,4,5,4,4,4,5,4,5,2,4.5
10/24/2024 19:32:25,Third year,Female,5,5,5,4,5,4,3,4,5,4,4,4,1,4.375
10/24/2024 19:33:02,Graduate student,Male,5,5,5,4,4,3,5,3,4,5,4,4,1,4.25
10/24/2024 19:33:38,Graduate student,Male,4,4,4,4,5,4,4,3,3,4,4,4,2,4
10/24/2024 19:34:01,Third year,Male,5,4,4,5,4,4,5,4,4,4,5,2,2,4.375
10/24/2024 19:34:44,Graduate student,Male,4,5,5,5,4,4,5,5,3,3,4,1,2,4.625
10/24/2024 19:35:16,Third year,Female,5,4,5,5,3,3,4,5,3,5,3,4,2,4.25
10/24/2024 19:36:18,Graduate student,Female,4,5,5,4,5,5,3,4,3,4,5,4,1,4.375
10/24/2024 19:36:37,Second year,Female,5,5,5,4,4,5,5,2,4,5,3,4,2,4.375
10/24/2024 19:36:55,Second year,Female,1,4,4,4,4,4,3,2,5,4,3,4,2,3.25
10/24/2024 19:37:16,Graduate student,Female,4,5,5,4,5,5,5,4,4,5,4,5,2,4.625
10/24/2024 19:38:52,Third year,Male,5,4,3,5,4,5,4,3,4,4,5,4,2,4.125
10/24/2024 19:39:15,Third year,Male,4,4,5,4,4,4,5,5,3,5,3,5,1,4.375
10/24/2024 19:39:38,Graduate student,Female,4,5,4,4,4,5,3,2,3,3,5,5,2,3.875
10/24/2024 19:40:05,Graduate student,Male,4,4,5,4,3,3,4,4,5,4,5,2,1,3.875
10/24/2024 19:40:29,Third year,Female,4,5,4,5,4,5,5,4,4,4,5,2,2,4.5
10/24/2024 19:41:29,Graduate student,Female,3,4,5,5,5,5,2,4,4,5,5,5,2,4.125
10/24/2024 19:41:52,Third year,Female,5,4,4,4,2,3,4,2,4,4,3,4,2,3.5
10/24/2024 19:43:37,Second year,Male,4,4,5,5,4,4,4,4,4,3,5,4,1,4.25
10/24/2024 19:44:02,Graduate student,Female,5,5,5,4,3,3,3,4,4,2,4,4,1,4
10/24/2024 19:44:21,Graduate student,Male,5,4,4,4,3,4,3,4,5,5,5,2,2,3.875
10/24/2024 19:45:11,Third year,Female,4,4,4,3,3,4,4,3,2,3,4,4,1,3.625
10/24/2024 19:46:57,Graduate student,Female,4,5,3,5,3,3,3,3,3,2,4,2,1,3.625
10/24/2024 19:48:09,Third year,Male,4,5,4,4,4,4,4,4,4,5,4,4,1,4.125
10/24/2024 19:50:06,Third year,Male,5,4,5,4,4,4,4,3,3,4,3,2,2,4.125
10/24/2024 19:50:39,Third year,Female,3,4,4,4,4,2,4,5,4,4,4,4,1,3.75
10/24/2024 19:53:54,Graduate student,Male,4,5,5,5,4,5,5,4,4,4,5,4,3,4.625
10/24/2024 19:55:34,Third year,Male,4,5,4,3,4,3,3,3,2,4,3,2,1,3.625
10/24/2024 19:56:15,Third year,Female,4,4,3,4,4,4,4,3,4,4,3,4,2,3.75
10/24/2024 19:56:35,Third year,Female,4,5,5,4,4,3,4,3,3,5,5,4,1,4
10/24/2024 19:59:55,Third year,Male,4,4,4,3,3,3,4,3,4,3,3,4,1,3.5
10/24/2024 20:00:33,Graduate student,Male,3,4,4,4,3,3,4,4,3,3,4,2,1,3.625
10/24/2024 20:01:31,Third year,Male,5,4,3,5,4,3,4,3,4,4,4,4,1,3.875
10/24/2024 20:15:00,Graduate student,Female,5,5,5,5,5,4,4,3,2,3,3,4,1,4.5
10/24/2024 20:15:20,Graduate student,Female,3,4,5,5,1,2,3,3,4,3,3,5,1,3.25
10/24/2024 20:16:39,Graduate student,Male,5,4,4,4,3,4,3,3,4,4,4,4,1,3.75
10/24/2024 20:16:59,Graduate student,Male,5,4,4,4,5,4,4,5,5,4,4,4,1,4.375
10/24/2024 20:17:36,Graduate student,Female,3,4,4,5,5,4,4,4,3,2,3,2,3,4.125
10/24/2024 20:18:00,Third year,Male,5,4,4,4,4,3,4,4,2,4,4,2,2,4
10/24/2024 20:20:46,Third year,Female,4,4,4,5,4,5,5,4,4,5,4,5,2,4.375
10/24/2024 20:31:06,Graduate student,Male,5,5,5,5,4,4,4,2,3,3,4,4,2,4.25
10/24/2024 20:31:33,Third year,Female,4,4,3,4,5,5,4,3,4,4,4,5,1,4
10/24/2024 20:32:06,Second year,Female,4,5,5,4,3,5,3,3,4,5,4,4,2,4
10/24/2024 20:35:16,Graduate student,Male,4,4,4,4,4,4,4,4,4,3,3,4,1,4
10/24/2024 20:36:31,Third year,Male,5,4,5,4,3,3,1,4,4,4,4,4,1,3.625
10/24/2024 20:37:39,Graduate student,Male,4,5,4,4,3,4,4,4,4,3,4,4,2,4
10/24/2024 20:41:20,Graduate student,Female,4,5,5,5,4,4,3,4,4,4,4,4,1,4.25
10/24/2024 20:44:28,Third year,Female,4,5,4,5,4,4,3,3,5,4,4,4,1,4
10/24/2024 20:44:47,Graduate student,Female,5,5,4,4,5,5,5,5,3,4,5,5,1,4.75
10/24/2024 20:45:15,Third year,Female,3,4,4,4,4,5,4,4,4,4,4,5,2,4
10/24/2024 20:46:44,Third year,Male,4,4,4,4,5,4,4,4,5,4,3,4,2,4.125
10/24/2024 20:49:24,Third year,Female,4,4,4,4,3,5,4,5,4,4,3,4,2,4.125
10/24/2024 23:42:01,Graduate student,Male,4,4,4,4,4,4,3,4,4,4,3,2,2,3.875
10/25/2024 13:58:07,Graduate student,Male,5,4,5,4,3,4,4,4,2,3,3,2,2,4.125
10/25/2024 13:59:02,Third year,Female,5,5,5,5,5,5,3,5,5,5,2,4,2,4.75
10/25/2024 14:00:04,Graduate student,Male,5,5,5,4,5,4,5,5,4,4,4,5,2,4.75
10/25/2024 14:00:29,Second year,Male,4,5,5,5,5,5,5,4,5,4,5,4,2,4.75
10/25/2024 14:00:46,Third year,Female,5,4,4,4,5,5,5,5,5,4,5,4,2,4.625
10/25/2024 14:01:05,Third year,Male,4,5,4,4,5,4,5,5,5,5,5,4,2,4.5
10/25/2024 14:01:23,Graduate student,Male,5,5,4,4,4,5,4,5,4,5,5,5,1,4.5
10/25/2024 14:02:34,Graduate student,Male,5,5,5,4,4,4,5,5,5,5,3,5,2,4.625
10/25/2024 14:02:52,Graduate student,Female,5,5,4,5,4,5,4,5,5,4,5,5,2,4.625
10/25/2024 14:06:29,Graduate student,Male,5,5,4,4,4,4,3,4,5,5,4,4,2,4.125
10/25/2024 14:07:54,Graduate student,Male,5,5,5,4,4,5,4,4,4,4,4,4,2,4.5
10/25/2024 14:08:24,Graduate student,Male,5,5,5,5,5,5,5,4,4,4,4,5,2,4.875
10/25/2024 14:09:06,Third year,Male,5,5,5,4,5,4,5,5,5,4,5,5,2,4.75
10/25/2024 14:09:50,Graduate student,Female,5,5,5,5,4,5,5,5,5,3,4,5,2,4.875
10/25/2024 14:11:59,Graduate student,Female,4,5,4,5,5,5,4,5,5,4,5,5,2,4.625
10/25/2024 14:13:22,Graduate student,Female,5,5,5,5,5,5,5,4,5,5,4,5,2,4.875
10/25/2024 14:13:48,Graduate student,Male,5,4,5,5,5,4,5,4,5,4,5,5,2,4.625
10/25/2024 14:14:18,Third year,Male,5,5,5,4,4,4,4,5,4,4,4,2,2,4.5
10/25/2024 14:14:49,Third year,Male,4,5,5,5,3,5,4,4,4,4,4,4,2,4.375
10/25/2024 14:15:11,Graduate student,Male,5,5,5,4,4,4,4,4,5,5,4,4,2,4.375
10/25/2024 14:15:45,Graduate student,Male,1,5,4,5,4,4,4,5,5,4,5,5,1,4
10/25/2024 14:17:23,Graduate student,Male,5,5,4,5,5,5,4,5,5,4,5,5,2,4.75
10/25/2024 14:18:35,Graduate student,Male,5,4,4,4,5,4,4,5,5,5,4,5,1,4.375
10/25/2024 14:19:58,Third year,Female,5,5,5,4,5,5,3,4,5,5,4,4,2,4.5
10/25/2024 14:21:16,Graduate student,Female,5,5,5,4,4,5,5,5,5,4,4,5,2,4.75
10/25/2024 14:21:35,Third year,Female,4,4,5,5,5,5,4,4,5,5,4,5,2,4.5
10/25/2024 14:21:53,Graduate student,Female,5,4,5,4,5,4,5,5,5,5,5,5,1,4.625
10/25/2024 14:22:58,Graduate student,Male,5,5,4,5,4,4,4,4,5,5,4,5,2,4.375
10/25/2024 14:23:22,Graduate student,Male,4,4,4,4,5,5,5,5,4,5,5,5,2,4.5
10/25/2024 14:23:41,Graduate student,Male,5,4,5,5,5,4,5,5,4,5,5,5,2,4.75
10/25/2024 14:24:53,Graduate student,Male,5,5,5,5,5,4,5,4,4,4,4,5,2,4.75
10/25/2024 14:26:34,Graduate student,Male,4,4,5,4,5,5,5,3,5,4,4,5,2,4.375
10/25/2024 14:27:36,Graduate student,Male,4,5,5,5,4,5,4,5,5,5,5,4,2,4.625
10/25/2024 14:27:55,Graduate student,Male,5,4,4,5,4,5,4,5,5,5,5,5,1,4.5
10/25/2024 14:28:15,Graduate student,Male,5,4,5,5,4,5,4,5,5,5,4,5,2,4.625
10/25/2024 14:28:44,Graduate student,Male,5,4,4,5,4,5,5,5,4,4,4,5,2,4.625
10/25/2024 14:30:26,Graduate student,Male,5,4,4,5,4,5,4,4,4,4,4,5,2,4.375
10/25/2024 14:31:38,Graduate student,Male,4,5,5,4,4,4,4,4,4,4,4,4,1,4.25
10/25/2024 14:32:08,Graduate student,Male,4,4,4,5,4,4,4,5,4,4,5,4,2,4.25
10/25/2024 14:32:40,Third year,Male,5,4,5,4,4,4,4,4,4,4,4,4,1,4.25
10/25/2024 14:33:25,Third year,Male,4,5,5,5,4,4,4,4,5,5,4,4,1,4.375
10/25/2024 14:34:24,Graduate student,Male,5,4,4,4,4,4,4,4,4,4,4,5,2,4.125
10/25/2024 14:34:46,Third year,Male,4,4,5,5,5,4,5,5,5,5,5,4,2,4.625
10/25/2024 14:35:09,Graduate student,Male,5,5,4,5,4,5,5,5,5,4,4,4,2,4.75
